feature,importance_mean,importance_std
elo_diff,0.14172413793103442,0.015494235819766175
home_elo,0.008793103448275852,0.00445948867461295
home_recent_gd_mean,0.007931034482758609,0.007640868898675983
home_season_matches,0.007241379310344814,0.003600105692727791
h2h_home_goals_avg,0.00637931034482756,0.00336538298205917
away_elo,0.005689655172413788,0.00336538298205917
away_recent_gd_mean,0.0037931034482758586,0.0038398374916069154
away_recent_pts_mean,0.002931034482758582,0.0048183409008559185
home_days_since_last,0.001724137931034464,0.003360963567175512
away_days_since_last,0.0006896551724137612,0.0015801985155020194
away_days_since_log,0.0,0.0
home_recent_matches,0.0,0.0
home_days_since_log,0.0,0.0
away_recent_matches,0.0,0.0
h2h_away_goals_avg,-0.0013793103448276,0.002864353056178647
away_season_pts,-0.0013793103448276223,0.003064894626660539
h2h_home_pts_mean,-0.0017241379310345083,0.0027800888787236503
home_season_pts,-0.0017241379310345196,0.0015421158465515946
home_recent_pts_mean,-0.00224137931034486,0.0021876857828361305
away_season_matches,-0.00224137931034486,0.0032758620689655074
