Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Andrea Petagna,it ITA,FW,23.0,36,35,3031.0,33.7,16.0,1.0,17.0,10.0,6.0,6.0,8.0,0.0,13.5,8.7,2.2,10.9,84.0,68.0,202.0,0.48,0.03,0.5,0.3,0.33,0.4,0.06,0.46,0.26,0.32,Matches
Manuel Lazzari,it ITA,DF,24.0,33,33,2835.0,31.5,0.0,8.0,8.0,0.0,0.0,0.0,7.0,0.0,1.4,1.4,5.9,7.4,239.0,68.0,234.0,0.0,0.25,0.25,0.0,0.25,0.05,0.19,0.23,0.05,0.23,Matches
Simone Missiroli,it ITA,MF,32.0,34,33,2741.0,30.5,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.6,0.6,1.3,1.9,71.0,171.0,72.0,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.06,0.02,0.06,Matches
Mohamed Fares,dz ALG,DF,22.0,35,32,2949.0,32.8,3.0,0.0,3.0,3.0,0.0,0.0,12.0,0.0,2.9,2.9,2.6,5.5,101.0,96.0,171.0,0.09,0.0,0.09,0.09,0.09,0.09,0.08,0.17,0.09,0.17,Matches
Jasmin Kurtić,si SVN,MF,29.0,30,29,2557.0,28.4,6.0,5.0,11.0,6.0,0.0,0.0,9.0,0.0,3.9,3.9,3.1,7.1,103.0,112.0,111.0,0.21,0.18,0.39,0.21,0.39,0.14,0.11,0.25,0.14,0.25,Matches
Thiago Cionek,pl POL,DF,32.0,31,29,2542.0,28.2,0.0,3.0,3.0,0.0,0.0,0.0,12.0,2.0,1.4,1.4,1.5,2.9,57.0,118.0,28.0,0.0,0.11,0.11,0.0,0.11,0.05,0.05,0.1,0.05,0.1,Matches
Felipe dal Belo,br BRA,DF,34.0,30,27,2361.0,26.2,3.0,2.0,5.0,3.0,0.0,0.0,13.0,0.0,2.6,2.6,1.1,3.7,15.0,67.0,6.0,0.11,0.08,0.19,0.11,0.19,0.1,0.04,0.14,0.1,0.14,Matches
Francesco Vicari,it ITA,DF,23.0,28,26,2335.0,25.9,2.0,1.0,3.0,2.0,0.0,0.0,6.0,0.0,0.5,0.5,0.3,0.8,9.0,56.0,0.0,0.08,0.04,0.12,0.08,0.12,0.02,0.01,0.03,0.02,0.03,Matches
Kevin Bonifazi,it ITA,DF,22.0,27,26,2301.0,25.6,2.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,0.6,0.6,0.3,0.9,42.0,92.0,8.0,0.08,0.04,0.12,0.08,0.12,0.02,0.01,0.03,0.02,0.03,Matches
Mirco Antenucci,it ITA,FW,33.0,35,22,2133.0,23.7,5.0,0.0,5.0,4.0,1.0,2.0,0.0,0.0,6.6,5.0,1.6,6.5,41.0,50.0,172.0,0.21,0.0,0.21,0.17,0.17,0.28,0.07,0.34,0.21,0.28,Matches
Pasquale Schiattarella,it ITA,MF,31.0,28,20,1841.0,20.5,0.0,4.0,4.0,0.0,0.0,0.0,10.0,0.0,0.6,0.6,2.5,3.2,45.0,125.0,32.0,0.0,0.2,0.2,0.0,0.2,0.03,0.12,0.16,0.03,0.16,Matches
Alfred Gomis,sn SEN,GK,24.0,20,19,1724.0,19.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Emiliano Viviano,it ITA,GK,32.0,17,17,1524.0,16.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Mattia Valoti,it ITA,MF,24.0,24,14,1222.0,13.6,2.0,0.0,2.0,2.0,0.0,0.0,6.0,0.0,2.0,2.0,0.4,2.4,31.0,59.0,62.0,0.15,0.0,0.15,0.15,0.15,0.15,0.03,0.18,0.15,0.18,Matches
Alessandro Murgia,it ITA,MF,21.0,15,11,1072.0,11.9,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.8,0.8,1.8,2.5,13.0,40.0,18.0,0.0,0.25,0.25,0.0,0.25,0.06,0.15,0.21,0.06,0.21,Matches
Sergio Floccari,it ITA,FW,36.0,20,11,976.0,10.8,3.0,1.0,4.0,3.0,0.0,0.0,3.0,0.0,2.2,2.2,0.3,2.5,14.0,18.0,62.0,0.28,0.09,0.37,0.28,0.37,0.2,0.03,0.23,0.2,0.23,Matches
Alberto Paloschi,it ITA,FW,28.0,23,8,863.0,9.6,2.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,2.8,2.8,0.6,3.4,3.0,11.0,33.0,0.21,0.0,0.21,0.21,0.21,0.3,0.06,0.36,0.3,0.36,Matches
Mirko Valdifiori,it ITA,MF,32.0,15,8,668.0,7.4,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.3,0.3,1.9,2.2,8.0,62.0,7.0,0.0,0.13,0.13,0.0,0.13,0.04,0.26,0.3,0.04,0.3,Matches
Filippo Costa,it ITA,"DF,FW",23.0,9,6,564.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.4,0.7,16.0,19.0,18.0,0.0,0.0,0.0,0.0,0.0,0.05,0.07,0.12,0.05,0.12,Matches
Johan Djourou,ch SUI,DF,31.0,5,3,279.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.16,0.16,0.16,Matches
Everton Luiz,br BRA,MF,30.0,10,2,317.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.1,0.1,0.0,0.1,7.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches
Lorenco Šimić,hr CRO,DF,22.0,8,2,238.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.3,1.2,3.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.32,0.13,0.45,0.32,0.45,Matches
Lorenzo Dickmann,it ITA,"DF,MF",21.0,6,2,175.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.06,Matches
Vanja Milinković-Savić,rs SRB,GK,21.0,2,2,164.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Vasco Regini,it ITA,"DF,FW",27.0,4,1,81.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Marko Janković,me MNE,"DF,MF",23.0,4,0,54.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.1,0.2,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.17,0.31,0.14,0.31,Matches
Gabriele Moncini,it ITA,MF,22.0,1,0,8.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.46,0.0,0.46,Matches
Giacomo Poluzzi,it ITA,GK,30.0,1,0,6.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Ricardo Farcaş,ro ROU,DF,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Andrea Fulignati,it ITA,"FW,GK",23.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Lazar Nikolić,rs SRB,MF,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Andrea Rizzo Pinna,it ITA,MF,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Marco Spina,it ITA,MF,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Demba Thiam,sn SEN,GK,20.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Karolis Uzėla,lt LTU,MF,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Mattia Vitale,it ITA,MF,20.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Federico Viviani,it ITA,MF,26.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Squad Total,,,27.8,38,418,3420.0,38.0,44.0,30.0,74.0,37.0,7.0,8.0,113.0,3.0,43.9,37.7,28.2,65.8,910.0,1259.0,1248.0,1.16,0.79,1.95,0.97,1.76,1.16,0.74,1.9,0.99,1.73,
Opponent Total,,,26.6,38,418,3420.0,38.0,56.0,38.0,94.0,51.0,5.0,5.0,106.0,5.0,51.3,47.3,35.8,83.1,739.0,1519.0,1510.0,1.47,1.0,2.47,1.34,2.34,1.35,0.94,2.29,1.25,2.19,
